|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  2.2141122024660938e-05 |  1.2193847164902299e-18 | 0.0 | 0.0 | -0.00032395255971402504 |  -3.177989074391461e-07 |   2.023043158608477e-05 | 0.0 |   -0.000759850796118461 |   6.194293439377728e-17 | 0.0 |   0.0005967816308832823 | 0.0 | -2.2243006056001675e-05 |  -9.329950820299117e-18 | 0.0 | -1.0298446084695128e-05 | 0.0 |  -7.033402733349877e-06 | -1.4461430913215203e-18 | 0.0 |   -8.44963251308469e-06 | 0.0 |  1.8154779763424006e-05 | -3.4055090189450065e-18 | 0.0 |   3.409901904606887e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.532221799640108e-18 | 0.0 |  -0.0019600976647883607 |  -0.0054513725125318584 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -4.5805125130679404e-05 |  -1.319645721975094e-17 | 0.0 | 0.0 | -0.00019280715400328682 |  3.7894195435880784e-06 | -0.00025910115482128884 | 0.0 | -0.00019072482196196355 |  -3.099303221248432e-18 | 0.0 | -2.2243006056001675e-05 | 0.0 |     0.01605826778110243 |  3.6326807118518245e-15 | 0.0 |  -0.0007547979089208904 | 0.0 |    -7.2430649916783e-05 |  -6.226642840234016e-17 | 0.0 | -2.3536197259591063e-05 | 0.0 |   0.0002640386953450582 | -1.8087529027800856e-17 | 0.0 |  3.0176799249381685e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.846295291938721e-18 | 0.0 |  -0.0005723780498695531 |   -0.004295498691611609 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -4.8229448150391754e-17 | -1.1345205207992893e-29 | 0.0 | 0.0 |  3.6933528949450916e-17 |  1.8397965631320693e-18 |  -1.959155375454586e-16 | 0.0 |  -8.033697641570959e-17 |  -6.135573384743271e-30 | 0.0 |  -9.329950820299117e-18 | 0.0 |  3.6326807118518245e-15 |   5.988469539810924e-27 | 0.0 |  4.2308061784070207e-16 | 0.0 |  -5.456775807471659e-17 |  -4.130840247595114e-29 | 0.0 | -1.6264836319963287e-17 | 0.0 |  1.8708952223219722e-16 | -1.3738646480823108e-29 | 0.0 |  1.3448682172455916e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -5.7690242070424496e-30 | 0.0 |  3.1959639817033038e-15 | -3.9111776297606766e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -9.038098855375255e-06 | -2.4242281141563216e-18 | 0.0 | 0.0 |  2.0832635607361343e-05 |   8.777732485469117e-07 |  -6.634415410222729e-05 | 0.0 | -1.7416924871946393e-05 |  -1.181276002180648e-18 | 0.0 | -1.0298446084695128e-05 | 0.0 |  -0.0007547979089208904 |  4.2308061784070207e-16 | 0.0 |   0.0003976262912510758 | 0.0 |  -2.178044948686115e-05 |   -1.60076263736101e-17 | 0.0 |  -5.192053378252886e-06 | 0.0 |   5.176803612405615e-05 |  -4.730969734121882e-18 | 0.0 |  -7.084624924830276e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.947826538113661e-19 | 0.0 |   0.0005465785223441707 |  0.00013165259486446837 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -2.2926862837468358e-05 | -1.0465718319475469e-17 | 0.0 | 0.0 |  -0.0006918262168004004 |  3.0101848484158433e-06 | -0.00022209964486090105 | 0.0 | -0.00015584077701368123 |  -3.329893584225137e-18 | 0.0 |  -7.033402733349877e-06 | 0.0 |    -7.2430649916783e-05 |  -5.456775807471659e-17 | 0.0 |  -2.178044948686115e-05 | 0.0 |    0.017390475566826647 |  2.2620986907413258e-15 | 0.0 |  -0.0009358739148000524 | 0.0 |   0.0001905616365404678 | -2.2797842415788444e-17 | 0.0 |  2.4762041472504844e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -2.20283591528791e-18 | 0.0 |  -0.0016093125572197399 |   -0.005687720384667525 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude | -4.1829338984929454e-18 |  -4.050273091105167e-30 | 0.0 | 0.0 | -4.0411361789698963e-16 |   1.517772990614548e-19 |  -7.779457716465982e-17 | 0.0 |  -5.998745865740775e-17 | -2.7552429754181978e-30 | 0.0 | -1.4461430913215203e-18 | 0.0 |  -6.226642840234016e-17 |  -4.130840247595114e-29 | 0.0 |   -1.60076263736101e-17 | 0.0 |  2.2620986907413258e-15 |   2.465873399413745e-27 | 0.0 |   2.334664445417485e-16 | 0.0 |   2.962182599956972e-17 | -1.4231904805673698e-29 | 0.0 |  2.6390961124704443e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.073048412926483e-30 | 0.0 |   9.011134199251203e-16 | -1.6534080004172257e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ | -3.9319191185188065e-06 | -1.8966890719403687e-18 | 0.0 | 0.0 | -2.9331087994892427e-05 |   7.006121665172354e-07 | -5.9308645758958624e-05 | 0.0 | -1.6468174425788323e-05 | -1.2873218428324022e-18 | 0.0 |   -8.44963251308469e-06 | 0.0 | -2.3536197259591063e-05 | -1.6264836319963287e-17 | 0.0 |  -5.192053378252886e-06 | 0.0 |  -0.0009358739148000524 |   2.334664445417485e-16 | 0.0 |   0.0004483114989392758 | 0.0 |   3.446064639070476e-05 | -6.1643379111330814e-18 | 0.0 |  -2.066733230697714e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.291761151281786e-19 | 0.0 |  0.00029000258028610924 | -0.00023702295239112436 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index | -0.00010460255983292583 | -1.3886111732768995e-17 | 0.0 | 0.0 | -0.00016849976946741834 |   6.581121324341768e-06 | -0.00015511096571392788 | 0.0 |  -9.355520509171661e-05 |   1.059294556803511e-17 | 0.0 |  1.8154779763424006e-05 | 0.0 |   0.0002640386953450582 |  1.8708952223219722e-16 | 0.0 |   5.176803612405615e-05 | 0.0 |   0.0001905616365404678 |   2.962182599956972e-17 | 0.0 |   3.446064639070476e-05 | 0.0 |     0.03435418641942493 |     7.2688279474179e-16 | 0.0 |  -0.0011982209700494172 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5624619691148776e-17 | 0.0 |  -0.0012852908795597737 |   -0.025855789695457945 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -3.0740976077031938e-18 | -1.7472821616037845e-30 | 0.0 | 0.0 |  -7.404305320550925e-17 |    5.31822587584053e-19 | -4.6839462246028677e-17 | 0.0 |  -2.323053217409716e-17 | -1.0055586646987231e-30 | 0.0 | -3.4055090189450065e-18 | 0.0 | -1.8087529027800856e-17 | -1.3738646480823108e-29 | 0.0 |  -4.730969734121882e-18 | 0.0 | -2.2797842415788444e-17 | -1.4231904805673698e-29 | 0.0 | -6.1643379111330814e-18 | 0.0 |     7.2688279474179e-16 |  3.3882294327620575e-28 | 0.0 |  2.1022396434997735e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2850641343987248e-30 | 0.0 | -1.1278325354079963e-15 |  -5.594642070107331e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
