|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  4.0963662634340217e-10 |  3.1496898670443947e-23 | 0.0 | 0.0 | -3.3181944575904895e-07 |  3.1455963608641635e-10 |   2.203864567543371e-09 | 0.0 |   -3.52563512636738e-05 | -1.3944941299081919e-19 | 0.0 | -1.2077164217591038e-05 | 0.0 |     0.01458639004905573 |   2.407122097826956e-15 | 0.0 |  -0.0006830032390390056 | 0.0 |  -9.924419702572215e-07 |  -5.405684194237195e-19 | 0.0 |   7.751358498158105e-09 | 0.0 | -2.8027430140334472e-11 |   6.257185452197394e-23 | 0.0 |  -5.258135460103945e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2544175515184133e-24 | 0.0 |   9.122226288576095e-11 |  3.3570255178229083e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   3.223369899349862e-22 |  4.2201877335048853e-35 | 0.0 | 0.0 | -3.2945577558235023e-19 |  3.1456708844437823e-22 |  2.1885962732080098e-21 | 0.0 |   7.774336179575464e-18 | -1.9659973983335124e-30 | 0.0 |   5.759816013755669e-19 | 0.0 |   2.407122097826956e-15 |   7.518645315227912e-27 | 0.0 |   3.363220507489177e-16 | 0.0 |  -1.010789836867887e-18 |  -5.324791054883501e-31 | 0.0 |   9.276579523539555e-21 | 0.0 | -1.9225799622271695e-23 |  1.0510684471375664e-34 | 0.0 |   6.139680645875191e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1064631929679491e-36 | 0.0 |   7.956465280533351e-23 |   2.767551298178652e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -6.072378141882598e-12 |   5.410757213957301e-25 | 0.0 | 0.0 |  5.1660504561691236e-11 |  1.6277604322196798e-12 |  -9.952615465969479e-13 | 0.0 | -1.3607938773578112e-06 |  -8.207946380522742e-20 | 0.0 |  -8.586152696488007e-07 | 0.0 |  -0.0006830032390390056 |   3.363220507489177e-16 | 0.0 |   0.0002634539995707414 | 0.0 |   -8.41631387386401e-10 |  3.9866546450615078e-22 | 0.0 |   7.300371956794143e-11 | 0.0 |  -6.703859923794759e-13 |   1.450184711325176e-23 | 0.0 |   9.240455805820351e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.290363774056084e-25 | 0.0 |   9.342458682599258e-12 |   3.364518362561133e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -1.969619928651439e-06 | -2.7285105034104634e-19 | 0.0 | 0.0 |    0.002045746802972021 | -1.9264810311219236e-06 | -1.3688505274644514e-05 | 0.0 |   8.177014741168361e-10 |  2.4738662616448086e-22 | 0.0 |   4.849554193216181e-10 | 0.0 |  -9.924419702572215e-07 |  -1.010789836867887e-18 | 0.0 |   -8.41631387386401e-10 | 0.0 |     0.01739583735421224 |   1.788162144460309e-15 | 0.0 |  -0.0008755687951725977 | 0.0 |  1.5262374201180033e-11 | -1.1111986525659059e-22 | 0.0 | -1.9808022257604983e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -9.15156644416288e-24 | 0.0 |   6.996384236883586e-10 |    3.18440084553154e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude | -1.3872460218553071e-18 | -1.9498484587357148e-31 | 0.0 | 0.0 |  1.4749444760377511e-15 | -1.3813664057620808e-18 |  -9.851081931245488e-18 | 0.0 |  3.5771965863539594e-22 |   1.264947550401214e-34 | 0.0 |   2.736434290489344e-22 | 0.0 |  -5.405684194237195e-19 |  -5.324791054883501e-31 | 0.0 |  3.9866546450615078e-22 | 0.0 |   1.788162144460309e-15 |  2.7830902214834956e-27 | 0.0 |  2.1618306376165905e-16 | 0.0 |   1.254731451820651e-23 |  -6.507002914881869e-35 | 0.0 |  2.3432974140460757e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.828954649529394e-36 | 0.0 | -2.8508780834544363e-22 | -1.1678127565440238e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  -7.367120828761677e-09 | -1.1804701452451537e-21 | 0.0 | 0.0 |   9.850648554201296e-06 |  -8.737260354295003e-09 |  -6.466254231016005e-08 | 0.0 | -1.4386690708913193e-11 | -1.5806787850626443e-24 | 0.0 |  5.8585809856165615e-12 | 0.0 |   7.751358498158105e-09 |   9.276579523539555e-21 | 0.0 |   7.300371956794143e-11 | 0.0 |  -0.0008755687951725977 |  2.1618306376165905e-16 | 0.0 |   0.0003667201992221248 | 0.0 |   3.852319676980857e-12 |  -1.155707289648246e-23 | 0.0 |   6.710472175754327e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.5197719511634506e-24 | 0.0 |   -3.42195377828197e-10 | -1.5007139828174366e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |   5.034698581701474e-11 |  -3.834044122738036e-24 | 0.0 | 0.0 |  2.2967043694521116e-10 |  2.2528448965682824e-12 |  -5.814498553441723e-12 | 0.0 |  -4.724325202923321e-12 |   1.102060792391002e-25 | 0.0 |  -1.315474151723403e-12 | 0.0 | -2.8027430140334472e-11 | -1.9225799622271695e-23 | 0.0 |  -6.703859923794759e-13 | 0.0 |  1.5262374201180033e-11 |   1.254731451820651e-23 | 0.0 |   3.852319676980857e-12 | 0.0 |     0.11765996334888636 |     -4.676171067091e-13 | 0.0 |     0.07817426653416551 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3086582404334525e-20 | 0.0 |  -9.443591068993803e-07 |  -3.734667950509966e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -2.9743364849247954e-22 |  2.6078524796376734e-35 | 0.0 | 0.0 | -1.2848598892339967e-21 |  -1.234295504275525e-23 |   2.759359514074594e-23 | 0.0 |  1.8146681369489118e-23 | -1.0091065660878547e-36 | 0.0 |    5.22605771492714e-24 | 0.0 |   6.257185452197394e-23 |  1.0510684471375664e-34 | 0.0 |   1.450184711325176e-23 | 0.0 | -1.1111986525659059e-22 |  -6.507002914881869e-35 | 0.0 |  -1.155707289648246e-23 | 0.0 |     -4.676171067091e-13 |   2.653240344117027e-24 | 0.0 |   7.096248425641754e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1335642148660062e-31 | 0.0 |   8.228202841319083e-18 |   3.104129309105598e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
